adapter_name,patch_direction,subset_name,subset_label,layer,layer_site,is_null_control,is_mismatched_control,n,n_denominator_ok,mean_m_base,mean_m_adapter,mean_m_patched,mean_delta_adapter,mean_raw_patch_effect,mean_recovered_or_removed_fraction,median_recovered_or_removed_fraction,mean_source_recovery_error,mean_base_recovery_error,expected_direction_recovered_rate,raw_patch_effect_ci_low,raw_patch_effect_ci_high,fraction_ci_low,fraction_ci_high
Base,Base_to_Base,random_chicken_150,Random Chicken,0,embedding_output,True,False,40,0,-0.775,-0.775,-0.775,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_chicken_150,Random Chicken,20,block_19_output,True,False,40,0,-0.775,-0.775,-0.775,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_chicken_150,Random Chicken,21,block_20_output,True,False,40,0,-0.775,-0.775,-0.775,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_chicken_150,Random Chicken,31,block_30_output,True,False,40,0,-0.775,-0.775,-0.775,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_chicken_150,Random Chicken,32,block_31_output,True,False,40,0,-0.775,-0.775,-0.775,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_chicken_150,Random Chicken,33,final_norm_output,True,False,40,0,-0.775,-0.775,-0.775,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_pd_150,Random Prisoner's Dilemma,0,embedding_output,True,False,40,0,0.08125,0.08125,0.08125,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_pd_150,Random Prisoner's Dilemma,20,block_19_output,True,False,40,0,0.08125,0.08125,0.08125,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_pd_150,Random Prisoner's Dilemma,21,block_20_output,True,False,40,0,0.08125,0.08125,0.08125,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
Base,Base_to_Base,random_pd_150,Random Prisoner's Dilemma,31,block_30_output,True,False,40,0,0.08125,0.08125,0.08125,0.0,0.0,,,0.0,0.0,,0.0,0.0,,
