subset_name,layer,n,base_mean_safe_margin,ut_mean_safe_margin,game_mean_safe_margin,ut_minus_base,game_minus_base,game_minus_ut
top_game_margin_shift,0,150,-0.5775,-0.5775,-0.5775,0.0,0.0,0.0
top_game_margin_shift,1,150,-0.2247916666666666,-0.2251041666666666,-0.2247916666666666,-0.00031249999999999334,0.0,0.00031249999999999334
top_game_margin_shift,2,150,-0.1032291666666666,-0.1029166666666666,-0.1034375,0.00031249999999999334,-0.00020833333333340753,-0.0005208333333334009
top_game_margin_shift,3,150,-0.1610416666666666,-0.1609375,-0.1609375,0.00010416666666659968,0.00010416666666659968,0.0
top_game_margin_shift,4,150,0.1767708333333333,0.1773958333333333,0.1790625,0.0006250000000000144,0.0022916666666667196,0.0016666666666667052
top_game_margin_shift,5,150,0.0441666666666666,0.0417708333333333,0.04375,-0.0023958333333332985,-0.00041666666666659996,0.0019791666666666985
top_game_margin_shift,6,150,-0.2613541666666666,-0.2607291666666667,-0.2610416666666666,0.0006249999999999312,0.00031249999999999334,-0.00031249999999993783
top_game_margin_shift,7,150,-0.2581770833333333,-0.2573958333333333,-0.2574479166666666,0.0007812499999999556,0.0007291666666666696,-5.2083333333285964e-05
top_game_margin_shift,8,150,-0.7594010416666667,-0.75875,-0.759765625,0.0006510416666666297,-0.0003645833333333348,-0.0010156249999999645
top_game_margin_shift,9,150,-1.0848697916666667,-1.0838151041666666,-1.0860416666666666,0.001054687500000151,-0.0011718749999998224,-0.0022265624999999734
top_game_margin_shift,10,150,-1.097323455810547,-1.097955780029297,-1.10070805867513,-0.0006323242187500355,-0.003384602864583197,-0.0027522786458331616
top_game_margin_shift,11,150,-1.1836197916666666,-1.1850260416666667,-1.18546875,-0.0014062500000000533,-0.001848958333333428,-0.0004427083333333748
top_game_margin_shift,12,150,-0.9511458333333334,-0.9539583333333334,-0.951484375,-0.0028124999999999956,-0.00033854166666669183,0.0024739583333333037
top_game_margin_shift,13,150,-0.9310677083333332,-0.9340169270833332,-0.9318391927083334,-0.0029492187499999822,-0.0007714843750001865,0.0021777343749997957
top_game_margin_shift,14,150,-0.8105859375,-0.8129817708333333,-0.8116471354166667,-0.0023958333333333748,-0.0010611979166667007,0.001334635416666674
top_game_margin_shift,15,150,-0.8722373453776041,-0.87617919921875,-0.8742921956380209,-0.00394185384114587,-0.0020548502604167407,0.0018870035807291297
top_game_margin_shift,16,150,-0.7392279815673828,-0.7413008626302083,-0.7457077026367187,-0.002072881062825549,-0.00647972106933592,-0.004406840006510371
top_game_margin_shift,17,150,-0.281488037109375,-0.2846560668945312,-0.2881602986653646,-0.0031680297851562345,-0.0066722615559896,-0.003504231770833366
top_game_margin_shift,18,150,-0.190528081258138,-0.1918205515543619,-0.1958832804361979,-0.0012924702962238965,-0.005355199178059905,-0.0040627288818360086
top_game_margin_shift,19,150,0.205703125,0.2043815104166666,0.2050520833333333,-0.0013216145833333803,-0.0006510416666666852,0.0006705729166666952
top_game_margin_shift,20,150,-0.052484130859375,-0.0746419270833333,-0.025928955078125,-0.022157796223958297,0.02655517578125,0.0487129720052083
top_game_margin_shift,21,150,-0.372509765625,-0.4501015218098958,-0.2668603515625,-0.07759175618489583,0.1056494140625,0.18324117024739583
top_game_margin_shift,22,150,-0.0141117350260416,-0.0943896484375,0.0962556966145833,-0.0802779134114584,0.1103674316406249,0.1906453450520833
top_game_margin_shift,23,150,-0.1013590494791666,-0.1822574869791666,0.009501953125,-0.0808984375,0.1108610026041666,0.1917594401041666
top_game_margin_shift,24,150,0.47984375,0.3412369791666667,0.7083854166666667,-0.13860677083333334,0.22854166666666664,0.3671484375
top_game_margin_shift,25,150,0.012099609375,-0.1078385416666666,0.1899674479166666,-0.11993815104166661,0.1778678385416666,0.2978059895833332
top_game_margin_shift,26,150,-0.0847395833333333,-0.1984895833333333,0.09609375,-0.11375,0.1808333333333333,0.2945833333333333
top_game_margin_shift,27,150,-0.2969791666666667,-0.4169270833333333,-0.10609375,-0.1199479166666666,0.1908854166666667,0.3108333333333333
top_game_margin_shift,28,150,0.3460416666666667,0.2679166666666667,0.4645833333333333,-0.078125,0.1185416666666666,0.1966666666666666
top_game_margin_shift,29,150,0.6341666666666667,0.5414583333333334,0.786875,-0.09270833333333328,0.15270833333333333,0.24541666666666662
top_game_margin_shift,30,150,0.7770833333333333,0.6779166666666666,0.9254166666666668,-0.09916666666666674,0.14833333333333343,0.24750000000000016
top_game_margin_shift,31,150,0.2841666666666667,0.15,0.5025,-0.13416666666666668,0.21833333333333327,0.3524999999999999
top_game_margin_shift,32,150,0.0566666666666666,0.0733333333333333,0.2075,0.016666666666666705,0.15083333333333337,0.13416666666666668
