subset_name,pair,model_a,model_b,layer,mean_cosine_similarity,mean_cosine_drift,median_cosine_drift,std_cosine_drift,sem_cosine_drift,ci_low,ci_high,n
random_chicken_150,Base–UT,base,ut,0,1.0000001192092896,-2.384185791015625e-07,-2.384185791015625e-07,0.0,0.0,-2.384185791015625e-07,-2.384185791015625e-07,150
random_chicken_150,Base–UT,base,ut,1,1.0,-1.9868215517249155e-08,0.0,1.048804136871695e-07,8.563449918185938e-09,-3.655751546223958e-08,-3.1789143880208335e-09,150
random_chicken_150,Base–UT,base,ut,2,0.9999995827674866,4.188219691059203e-07,3.5762786865234375e-07,3.223482281100587e-07,2.6319622611997364e-08,3.7391980489095053e-07,4.756450653076172e-07,150
random_chicken_150,Base–UT,base,ut,3,0.9999967217445374,3.3668677588138962e-06,2.4139881134033203e-06,2.7673984277498676e-06,2.2595713543225314e-07,2.951214710871379e-06,3.847698370615641e-06,150
random_chicken_150,Base–UT,base,ut,4,0.9999949336051941,5.018313913751626e-06,3.874301910400391e-06,3.481746716715861e-06,2.8428342898548365e-07,4.5227905114491775e-06,5.644957224527995e-06,150
random_chicken_150,Base–UT,base,ut,5,0.9999894499778748,1.0713339179346804e-05,8.910894393920898e-06,4.838814220420318e-06,3.9508752667176494e-07,9.984155495961506e-06,1.1526366074879963e-05,150
random_chicken_150,Base–UT,base,ut,6,0.9999853372573853,1.4673074474558234e-05,1.2606382369995117e-05,6.536984983540606e-06,5.337425888636792e-07,1.370708147684733e-05,1.575749119122823e-05,150
random_chicken_150,Base–UT,base,ut,7,0.9999778270721436,2.2134383470984176e-05,1.9490718841552734e-05,8.488754247082397e-06,6.93103881907849e-07,2.0842870076497397e-05,2.3546268542607627e-05,150
random_chicken_150,Base–UT,base,ut,8,0.9999690651893616,3.094593557761982e-05,2.828240394592285e-05,1.0093546734424308e-05,8.241346398091662e-07,2.93922225634257e-05,3.267250458399454e-05,150
random_chicken_150,Base–UT,base,ut,9,0.9999582171440125,4.186272781225853e-05,3.892183303833008e-05,1.163719662145013e-05,9.501731252997716e-07,4.0069808562596636e-05,4.3784032265345255e-05,150
random_chicken_150,Base–UT,base,ut,10,0.9999605417251587,3.9497612306149676e-05,3.7282705307006836e-05,1.057454755937215e-05,8.63408192708499e-07,3.786920507748922e-05,4.119118054707845e-05,150
random_chicken_150,Base–UT,base,ut,11,0.9999526739120483,4.7237874241545796e-05,4.240870475769043e-05,1.5103619261935819e-05,1.233205348700474e-06,4.488580425580342e-05,4.973059892654419e-05,150
random_chicken_150,Base–UT,base,ut,12,0.9999493360519409,5.061387855676003e-05,4.4912099838256836e-05,1.7577913240529597e-05,1.4352306060736621e-06,4.787635803222656e-05,5.352695782979329e-05,150
random_chicken_150,Base–UT,base,ut,13,0.99993896484375,6.107330409577116e-05,5.653500556945801e-05,1.9299377527204342e-05,1.5757875764995737e-06,5.806713302930196e-05,6.432101130485535e-05,150
random_chicken_150,Base–UT,base,ut,14,0.999928891658783,7.11007887730375e-05,6.437301635742188e-05,2.3494711058447137e-05,1.9183351249106924e-06,6.747202078501384e-05,7.497429847717285e-05,150
random_chicken_150,Base–UT,base,ut,15,0.9999247193336487,7.52611958887428e-05,6.80088996887207e-05,2.4972783648991026e-05,2.0390192465648994e-06,7.138465841611227e-05,7.932631174723307e-05,150
random_chicken_150,Base–UT,base,ut,16,0.9999090433120728,9.090264939004555e-05,8.168816566467285e-05,2.938726538559422e-05,2.3994601710153395e-06,8.643423517545065e-05,9.572518865267436e-05,150
random_chicken_150,Base–UT,base,ut,17,0.9998799562454224,0.00012011806393275037,0.00011202692985534668,3.644382013590075e-05,2.975625453690798e-06,0.00011450556914011637,0.0001261370281378428,150
random_chicken_150,Base–UT,base,ut,18,0.9998533129692078,0.00014658768486697227,0.0001360177993774414,4.184172212262638e-05,3.4163623053252433e-06,0.00014014955361684164,0.0001534502903620402,150
random_chicken_150,Base–UT,base,ut,19,0.9998049139976501,0.00019519130000844598,0.0001812279224395752,5.920259718550369e-05,4.833871818400518e-06,0.00018601058920224506,0.00020484418670336404,150
random_chicken_150,Base–UT,base,ut,20,0.999802827835083,0.00019722621073015034,0.00017812848091125488,8.312828867929056e-05,6.787396348501374e-06,0.00018485122919082643,0.0002112163503964742,150
random_chicken_150,Base–UT,base,ut,21,0.9997813105583191,0.0002188130165450275,0.0001963973045349121,0.00010300830035703257,8.410592504869335e-06,0.00020346001784006754,0.00023632651567459108,150
random_chicken_150,Base–UT,base,ut,22,0.9997961521148682,0.00020383358059916645,0.0001792311668395996,0.00010727401240728796,8.758886435294907e-06,0.00018811436494191487,0.0002219673196474711,150
random_chicken_150,Base–UT,base,ut,23,0.9997709393501282,0.0002291667478857562,0.0002048015594482422,0.00013858720194548368,1.1315597654882773e-05,0.00020922079682350158,0.00025283466776212057,150
random_chicken_150,Base–UT,base,ut,24,0.9997846484184265,0.000215315812965855,0.00017774105072021484,0.0001425698137609288,1.1640776547930104e-05,0.0001939697563648224,0.00023919589320818582,150
random_chicken_150,Base–UT,base,ut,25,0.9998063445091248,0.00019369482470210642,0.00016236305236816406,0.0001206166489282623,9.848308145288604e-06,0.00017594679196675619,0.00021424629290898642,150
random_chicken_150,Base–UT,base,ut,26,0.9998219609260559,0.0001781419850885868,0.00014829635620117188,0.00011053328489651904,9.025004919671806e-06,0.00016180474559466043,0.00019667043288548787,150
random_chicken_150,Base–UT,base,ut,27,0.999854326248169,0.0001457126927562058,0.00012511014938354492,9.297578071709722e-05,7.591440706459588e-06,0.00013210772474606832,0.00016151535511016847,150
random_chicken_150,Base–UT,base,ut,28,0.999847412109375,0.00015261968655977398,0.0001302957534790039,9.501507156528533e-05,7.757948106965867e-06,0.0001387460430463155,0.00016871986786524455,150
random_chicken_150,Base–UT,base,ut,29,0.9998738765716553,0.00012624541705008596,0.0001074075698852539,7.806872599758208e-05,6.374284785440924e-06,0.00011487719416618346,0.00013950954874356587,150
random_chicken_150,Base–UT,base,ut,30,0.9998767375946045,0.0001232723443536088,0.00010722875595092773,7.478633779101074e-05,6.106278910646625e-06,0.00011243166526158651,0.00013601693511009215,150
random_chicken_150,Base–UT,base,ut,31,0.9998781085014343,0.00012184143270133063,0.00010588765144348145,7.04166159266606e-05,5.749492614461924e-06,0.00011181206504503886,0.0001339710255463918,150
random_chicken_150,Base–UT,base,ut,32,0.9998815655708313,0.00011824886314570904,0.00010576844215393066,5.956371751381084e-05,4.863357169737147e-06,0.00010999517639478048,0.00012841148177782696,150
random_chicken_150,Base–GAME,base,game,0,1.0000001192092896,-2.384185791015625e-07,-2.384185791015625e-07,0.0,0.0,-2.384185791015625e-07,-2.384185791015625e-07,150
random_chicken_150,Base–GAME,base,game,1,1.0,-1.5099843153620895e-08,0.0,1.0857116450324611e-07,8.864798460424214e-09,-3.258387247721354e-08,2.384185791015625e-09,150
random_chicken_150,Base–GAME,base,game,2,0.9999995827674866,3.814697322468419e-07,3.5762786865234375e-07,2.43856987935942e-07,1.991083968850304e-08,3.4729639689127607e-07,4.2557716369628904e-07,150
random_chicken_150,Base–GAME,base,game,3,0.9999969601631165,3.056526111322455e-06,2.4139881134033203e-06,1.7566478618391557e-06,1.434296973085671e-07,2.788702646891276e-06,3.348986307779948e-06,150
random_chicken_150,Base–GAME,base,game,4,0.9999951124191284,4.891951903118752e-06,3.933906555175781e-06,2.5870249373838305e-06,2.112297016148662e-07,4.4941902160644535e-06,5.3270657857259115e-06,150
random_chicken_150,Base–GAME,base,game,5,0.9999887943267822,1.1202891982975416e-05,9.238719940185547e-06,5.792926458525471e-06,4.729904646951808e-07,1.0331859191258748e-05,1.2169341246287026e-05,150
random_chicken_150,Base–GAME,base,game,6,0.9999853372573853,1.461664851376554e-05,1.3023614883422852e-05,5.218384103500284e-06,4.260792778475579e-07,1.3817489147186279e-05,1.5471428632736206e-05,150
random_chicken_150,Base–GAME,base,game,7,0.9999780058860779,2.1943647880107164e-05,2.0265579223632812e-05,7.013507456576917e-06,5.726504858606165e-07,2.0861576000849406e-05,2.3099621136983234e-05,150
random_chicken_150,Base–GAME,base,game,8,0.9999698996543884,3.0039549528737552e-05,2.7477741241455078e-05,8.9587056208984e-06,7.314752509001544e-07,2.8675744930903118e-05,3.1519373257954914e-05,150
random_chicken_150,Base–GAME,base,game,9,0.999959409236908,4.0611426811665297e-05,3.790855407714844e-05,1.0930078133242205e-05,8.924371425065163e-07,3.894325097401937e-05,4.242740074793498e-05,150
random_chicken_150,Base–GAME,base,game,10,0.9999622702598572,3.771543561015278e-05,3.5375356674194336e-05,9.905648767016828e-06,8.087928350140185e-07,3.61882746219635e-05,3.932796915372213e-05,150
random_chicken_150,Base–GAME,base,game,11,0.9999546408653259,4.5380988012766466e-05,4.0978193283081055e-05,1.3897651115257759e-05,1.1347384618534359e-06,4.322286446889241e-05,4.7617902358373e-05,150
random_chicken_150,Base–GAME,base,game,12,0.9999503493309021,4.950483707943931e-05,4.500150680541992e-05,1.745815279718954e-05,1.4254522068219076e-06,4.6816656986872356e-05,5.2407234907150265e-05,150
random_chicken_150,Base–GAME,base,game,13,0.9999399781227112,5.994359526084736e-05,5.626678466796875e-05,1.953625906025991e-05,1.5951288726820526e-06,5.693270762761434e-05,6.319587429364522e-05,150
random_chicken_150,Base–GAME,base,game,14,0.9999290704727173,7.096568879205734e-05,6.565451622009277e-05,2.618130383780226e-05,2.13769450677955e-06,6.691094239552816e-05,7.532534996668497e-05,150
random_chicken_150,Base–GAME,base,game,15,0.9999258518218994,7.416804874083027e-05,6.73830509185791e-05,2.6678864742279984e-05,2.1783201845104868e-06,7.004856069882711e-05,7.863088448842366e-05,150
random_chicken_150,Base–GAME,base,game,16,0.9999105930328369,8.940458064898849e-05,8.228421211242676e-05,3.132925849058665e-05,2.5580232440564932e-06,8.455069859822591e-05,9.460450212160747e-05,150
random_chicken_150,Base–GAME,base,game,17,0.9998822212219238,0.00011769413686124608,0.00010785460472106934,3.971768819610588e-05,3.2429356614473956e-06,0.00011139033238093057,0.0001241832971572876,150
random_chicken_150,Base–GAME,base,game,18,0.9998597502708435,0.00014033436309546232,0.00012949109077453613,4.5925542508484796e-05,3.7498048435428778e-06,0.00013308555881182355,0.000147874653339386,150
random_chicken_150,Base–GAME,base,game,19,0.9998146295547485,0.0001854006404755637,0.0001645982265472412,6.943073822185397e-05,5.668996036943175e-06,0.00017483413219451904,0.00019703909754753112,150
random_chicken_150,Base–GAME,base,game,20,0.9998242259025574,0.00017583170847501606,0.000155717134475708,6.928048242116347e-05,5.6567277021903405e-06,0.00016541634996732074,0.00018720091382662453,150
random_chicken_150,Base–GAME,base,game,21,0.9998056292533875,0.00019439221068751067,0.00016772747039794922,8.862302638590336e-05,7.236039803555774e-06,0.00018080315987269085,0.00020879300435384113,150
random_chicken_150,Base–GAME,base,game,22,0.999819815158844,0.00018009702034760267,0.0001512765884399414,8.992770017357543e-05,7.342565972241801e-06,0.00016618605454762775,0.00019485614697138467,150
random_chicken_150,Base–GAME,base,game,23,0.9997955560684204,0.0002044570428552106,0.00016817450523376465,0.00011299488687654957,9.22599387970179e-06,0.00018706427017847697,0.0002229060133298238,150
