subset_name,pair,model_a,model_b,layer,mean_cosine_similarity,mean_cosine_drift,median_cosine_drift,std_cosine_drift,sem_cosine_drift,ci_low,ci_high,n
top_game_margin_shift,Base–UT,base,ut,0,1.0000001192092896,-2.384185791015625e-07,-2.384185791015625e-07,0.0,0.0,-2.384185791015625e-07,-2.384185791015625e-07,150
top_game_margin_shift,Base–UT,base,ut,1,1.0,-8.742014223628303e-09,0.0,1.0728984989327728e-07,8.760179560610986e-09,-2.583861351013183e-08,8.344650268554688e-09,150
top_game_margin_shift,Base–UT,base,ut,2,0.9999995827674866,4.7206879116856726e-07,4.172325134277344e-07,3.876698144722468e-07,3.165310780454754e-08,4.15643056233724e-07,5.408128102620443e-07,150
top_game_margin_shift,Base–UT,base,ut,3,0.9999968409538269,3.230174343116232e-06,2.2649765014648438e-06,2.939751993835671e-06,2.400297451742291e-07,2.7966499328613282e-06,3.735631704330444e-06,150
top_game_margin_shift,Base–UT,base,ut,4,0.999994695186615,5.354881068342365e-06,3.874301910400391e-06,3.120846713500214e-06,2.5481606711724553e-07,4.87367312113444e-06,5.871464808781941e-06,150
top_game_margin_shift,Base–UT,base,ut,5,0.999987781047821,1.2217759831401054e-05,9.059906005859375e-06,7.1742679210728966e-06,5.857765228215485e-07,1.1130561431248983e-05,1.3421813646952311e-05,150
top_game_margin_shift,Base–UT,base,ut,6,0.9999838471412659,1.6188223526114598e-05,1.3500452041625977e-05,7.662742973479908e-06,6.256603438374302e-07,1.5018373727798462e-05,1.7490814129511514e-05,150
top_game_margin_shift,Base–UT,base,ut,7,0.9999762177467346,2.3799737391527742e-05,2.1785497665405273e-05,9.543857231619768e-06,7.792526798479893e-07,2.2371957699457803e-05,2.5423785050710044e-05,150
top_game_margin_shift,Base–UT,base,ut,8,0.9999666213989258,3.347516030771658e-05,3.075599670410156e-05,1.175857050839113e-05,9.600832616698951e-07,3.1721949577331544e-05,3.5543501377105714e-05,150
top_game_margin_shift,Base–UT,base,ut,9,0.9999552369117737,4.4859250920126215e-05,4.220008850097656e-05,1.2826424608647358e-05,1.0472731838487814e-06,4.291688402493795e-05,4.705513517061869e-05,150
